question_id,image_id,question,answer,label,question_length
529215001,529215,do you see any animals coming from the woods?,no,0,9
345787000,345787,is this the right dress for her?,yes,1,7
218926002,218926,is this doll wearing a belt?,yes,1,6
145824001,145824,would it be easier for the man to go the other direction?,yes,1,12
157866001,157866,is the stove built in?,yes,1,5
140661016,140661,is there a fan moving in this picture?,no,0,8
170129008,170129,is the sun bright?,yes,1,4
345063000,345063,has the sign been defaced?,no,0,5
476715000,476715,is this room clean?,no,0,4
300039003,300039,are we bored in this pic?,yes,1,6
269600001,269600,is it nighttime?,yes,1,3
535808011,535808,are there a lot of bikes?,no,0,6
433892003,433892,are there any cars in the street?,no,0,7
475466004,475466,is this a busy street?,no,0,5
507235004,507235,is this a big bowl?,yes,1,5
133386014,133386,is it raining outside?,no,0,4
218716003,218716,do the elephants like each other?,yes,1,6
499826000,499826,is this woman crying?,no,0,4
108698001,108698,is the cat stuck in the gate?,no,0,7
276706001,276706,is this cat hunting?,no,0,4
322261021,322261,is the boy in danger of getting a splinter in his foot?,no,0,12
307523009,307523,is there a difficult trick taking place?,yes,1,7
163608003,163608,is there a pepper in the photo?,yes,1,7
280918004,280918,is the lady wearing a belt?,no,0,6
536947000,536947,are there cans on the ground?,yes,1,6
58123002,58123,is this bus turning on red?,no,0,6
264594001,264594,is the older girl in control of the calf?,yes,1,9
160351029,160351,is the boy squatting?,no,0,4
198635030,198635,do both plates have the same dish?,no,0,7
458932006,458932,is the water warm?,no,0,4
259755002,259755,is the person in the red jersey wearing a helmet?,yes,1,10
254016000,254016,is this food sweet?,yes,1,4
376208000,376208,is there an audience?,yes,1,4
553788000,553788,if the laptop plugged into anything?,yes,1,6
359140006,359140,did the person use toilet paper when using the bathroom?,no,0,10
304875006,304875,are the zebras eating?,yes,1,4
360216007,360216,is the woman's thumb touching the mug?,no,0,7
372147002,372147,does one girl have a guitar?,yes,1,6
387244000,387244,is there running water pictured?,yes,1,5
112698003,112698,is the player a girl?,no,0,5
78023006,78023,is there a plant in this image?,no,0,7
113251001,113251,is this a city?,yes,1,4
145523021,145523,is there anything in the toilet?,no,0,6
195648005,195648,"judging by the trees, is this summer?",yes,1,7
478009000,478009,is there toilet paper available?,no,0,5
72507001,72507,is the rain's light on?,yes,1,5
432534000,432534,are these flowers real?,yes,1,4
46870004,46870,is this a vintage bike?,yes,1,5
199050000,199050,is this a party?,yes,1,4
459440000,459440,do those scribbles mean anything?,yes,1,5
99341001,99341,will the man kick the ball?,yes,1,6
406917001,406917,is the person wearing shoes?,no,0,5
154892000,154892,is the man wearing glasses?,yes,1,5
213171001,213171,is the man wearing a white t-shirt?,no,0,7
488832000,488832,will one person be eating this?,yes,1,6
194780005,194780,are there any people in the picture?,no,0,7
110906001,110906,is the player smiling at the camera?,yes,1,7
24053008,24053,are these trees real?,no,0,4
205300001,205300,is the motor bike too small for the person riding it?,yes,1,11
120509003,120509,does she have an earring in her hair?,yes,1,8
363981004,363981,is the kid a boy?,yes,1,5
564822004,564822,will be bust his head if he falls?,no,0,8
494578001,494578,are the birds flying?,no,0,4
275863002,275863,have you ever played baseball?,yes,1,5
45057004,45057,are there mushrooms in the picture?,yes,1,6
380754032,380754,is the woman taking a selfie?,no,0,6
417339000,417339,is the boy wearing goggles?,yes,1,5
183657000,183657,is it safe to stand near the bowl?,no,0,8
459034008,459034,is this a typical activity for senior citizens?,no,0,8
406885002,406885,is the train on the tracks?,yes,1,6
222370023,222370,are there two garages next to each other?,no,0,8
164759003,164759,is there a wood floor?,yes,1,5
44823001,44823,is a vintage airplane on the ground?,yes,1,7
322352002,322352,are the plants getting sun?,yes,1,5
268854002,268854,is that a gazebo on the jetty?,yes,1,7
306247001,306247,is the man's mouth open?,no,0,5
39068003,39068,is this picture black and white?,yes,1,6
223094001,223094,are these modern appliances?,no,0,4
12085025,12085,is the man clean shaven?,no,0,5
296208012,296208,is the cup full?,yes,1,4
46650001,46650,is it normal to have fruit on a record?,no,0,9
387990001,387990,are there books in this photo?,yes,1,6
434976005,434976,is the little girl wearing shoes?,no,0,6
101270000,101270,are the lanes performing?,yes,1,4
156832009,156832,is this a big bathroom?,no,0,5
186036004,186036,does the truck have suicide doors?,yes,1,6
472691007,472691,are they any anchovies on the pizza?,yes,1,7
427870001,427870,is there two humans in the picture?,yes,1,7
269017002,269017,can the chair be used in the shower?,no,0,8
97036000,97036,is there a bowl seen?,no,0,5
81054000,81054,is there anyone inside of the car?,no,0,7
447553017,447553,are the people going in opposite directions?,no,0,7
254930000,254930,is this someone's home?,no,0,4
58157003,58157,are they in a park?,yes,1,5
146710005,146710,is the woman athletic?,yes,1,4
221291000,221291,does the boy have red hair?,yes,1,6
236925003,236925,is the zebra in its natural habitat?,no,0,7
571012001,571012,is this person doing a skateboarding trick?,no,0,7
128112001,128112,is this person skateboarding?,no,0,4
516628002,516628,is this room tidy?,no,0,4
469471002,469471,is this room in a hotel?,yes,1,6
53529002,53529,is that a four leaf clover?,no,0,6
91402009,91402,is the surfer wearing a shirt?,yes,1,6
201163002,201163,are the bikes ready to race?,no,0,6
249550005,249550,are there pictures on the wall?,no,0,6
474464001,474464,would a vegetarian eat this?,yes,1,5
323888003,323888,are the hands of the clock fluorescent?,yes,1,7
559012005,559012,is the man wearing a hat?,no,0,6
31368004,31368,should this person be wearing safety gloves?,no,0,7
386012002,386012,is anyone swimming in the water?,yes,1,6
241113003,241113,is this inside?,no,0,3
405007000,405007,is the sky stormy?,no,0,4
49648000,49648,is this a professional photo?,yes,1,5
196995005,196995,does this bear poop in the woods?,yes,1,7
44732002,44732,are the birds eating?,no,0,4
458255002,458255,is the girl looking at the book?,yes,1,7
507927007,507927,are these police?,no,0,3
77953002,77953,are boats used as transportation here?,yes,1,6
521359010,521359,does the shower curtain need to be replaced?,yes,1,8
189163001,189163,is this picture taken in a regular bedroom?,yes,1,8
486175010,486175,are the people about to eat?,no,0,6
45564013,45564,is there water?,yes,1,3
261155004,261155,is it a sunny day?,no,0,5
10219020,10219,is there a dog on the porch swing?,no,0,8
32300001,32300,is the child a good player?,yes,1,6
170605012,170605,is it sunny?,yes,1,3
254491003,254491,is it a sunny day?,yes,1,5
365129000,365129,would fish like the area on the left?,yes,1,8
75612012,75612,do the people look bored?,no,0,5
315209014,315209,are there any trees in the photo?,yes,1,7
292156003,292156,are both men standing up?,no,0,5
133693012,133693,are right turned allowed?,yes,1,4
289630000,289630,is there a train?,yes,1,4
504304001,504304,is she playing with another kid?,no,0,6
22874005,22874,is the cat fat?,no,0,4
148783000,148783,is the zebra in a safari?,no,0,6
324500001,324500,does the water look smooth?,yes,1,5
460652001,460652,is this a mall?,no,0,4
184330001,184330,is the plane on a runway?,yes,1,6
568439002,568439,are the men at the bus stop arguing?,no,0,8
27493000,27493,is that a man's hand holding the plate?,yes,1,8
